,model_type,parameters,duration,accuracy,precision,recall,F1,Average Precision Score,AUC ROC Score,"Precision, Recall and F1 at 5","Precision, Recall and F1 at 10","Precision, Recall and F1 at 20"
0,Forest,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",0.6422836780548096,0.8767569546120059,0.8541355133910583,0.99431901098672,0.9189116288479046,0.9560845674245266,0.934950282207401,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
1,Forest,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",4.288536310195923,0.702298682284041,0.702298682284041,1.0,0.8251180472533048,0.9566816290266861,0.9223043093393123,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
2,Forest,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 10}",0.67120361328125,0.702298682284041,0.702298682284041,1.0,0.8251180472533048,0.9389039446261678,0.8820358584091523,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
3,Forest,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",4.232061386108398,0.702298682284041,0.702298682284041,1.0,0.8251180472533048,0.9584208587940165,0.9291714617811041,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
4,Forest,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}",0.6572422981262207,0.876800878477306,0.854181404636752,0.99431901098672,0.9189381860919911,0.957452294452261,0.9359978623057659,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
5,Forest,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",4.230729103088379,0.786683748169839,0.767173587833892,0.9996351658431839,0.86811172415666,0.9612743175026419,0.9357245959317978,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
6,Forest,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 10}",0.6762282848358154,0.8945607613469986,0.9220162116835927,0.9283882669335168,0.9251912678997148,0.9507643096032066,0.9290869832608026,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
7,Forest,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",4.314831972122192,0.8104904831625183,0.7876744396165819,0.9996143181770801,0.8810782750906142,0.9610091139326693,0.9368840751064276,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
8,Forest,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",1.0222656726837158,0.9347657393850659,0.9279553077021432,0.9834678007797027,0.9549054436330698,0.9832771044826046,0.9685347553514796,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
9,Forest,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",7.931797504425049,0.9329062957540264,0.922098012317212,0.9879292013259116,0.9538791346487718,0.9843537629951654,0.9701897607003215,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
10,Forest,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 10}",1.023224115371704,0.9314787701317716,0.9233778681950666,0.9840932307628161,0.9527692556111739,0.9823625410779419,0.9674634658134383,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
11,Forest,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",7.947753429412842,0.9343411420204978,0.9255688769268412,0.9857818917172223,0.9547269432484137,0.9855868314617823,0.9722257059328823,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
12,Forest,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}",1.0252585411071777,0.9285944363103953,0.9181546463783867,0.9862405403715054,0.9509804906976511,0.9812578646718426,0.965148768403952,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
13,Forest,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",7.988642930984497,0.9330673499267935,0.9235236134019109,0.98637605020118,0.9539156338049466,0.9839888706016504,0.9697745628403187,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
14,Forest,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 10}",1.0092992782592773,0.9305051244509517,0.9242503067484663,0.9814872724998437,0.9520092614592865,0.9821827457480015,0.9657142136700154,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
15,Forest,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",7.95672345161438,0.9365666178623719,0.9322002000812211,0.9810286238455604,0.9559913252375655,0.9842622713291841,0.9702185615823801,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
16,Tree,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 2}",0.3041849136352539,0.8350366032210834,0.9562520201894626,0.8017908145183147,0.8722359558206518,0.9059161359328738,0.8576283045197681,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
17,Tree,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 5}",0.3061819076538086,0.8350366032210834,0.9562520201894626,0.8017908145183147,0.8722359558206518,0.9059161359328738,0.8576283045197681,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
18,Tree,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 10}",0.30518531799316406,0.8350366032210834,0.9562520201894626,0.8017908145183147,0.8722359558206518,0.9059161359328738,0.8576283045197681,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
19,Tree,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",0.4497966766357422,0.9370790629575403,0.934855560977067,0.9785998707444702,0.9562276873246179,0.980624689158024,0.9672279089999752,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
20,Tree,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}",0.4497966766357422,0.9370790629575403,0.934855560977067,0.9785998707444702,0.9562276873246179,0.980624689158024,0.9672279089999752,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
21,Tree,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10}",0.4547853469848633,0.9370790629575403,0.934855560977067,0.9785998707444702,0.9562276873246179,0.980624689158024,0.9672279089999752,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
22,Tree,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.5654895305633545,0.947393850658858,0.9440330618208017,0.9833948339483395,0.9633120264668041,0.987912584846725,0.9780922783157662,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
23,Tree,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",0.598365306854248,0.9473645680819912,0.9440485959610111,0.9833322909500282,0.9632901051771674,0.9880108407131466,0.9781763710624792,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
24,Tree,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10}",0.5594496726989746,0.9474670571010249,0.9441008706094266,0.9834261054474952,0.9633623330474207,0.9882113508133077,0.9783749501317788,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
25,Tree,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2}",0.5944092273712158,0.9459516837481698,0.9445911614969825,0.9805595513582255,0.9622393502488223,0.9832533640447451,0.9736126220918424,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
26,Tree,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 5}",0.6143679618835449,0.9460541727672035,0.9446435922924762,0.9806533658556924,0.9623117248433702,0.9839252011932236,0.974428575653442,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
27,Tree,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 10}",0.5944476127624512,0.9465080527086384,0.944642337524207,0.9813413388371172,0.9626421943301208,0.9846488329392526,0.9752940078177632,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
28,Tree,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 2}",0.6074106693267822,0.9459443631039531,0.9445816765072097,0.9805595513582255,0.9622344288622253,0.9832282459734062,0.9735794367199312,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
29,Tree,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 5}",0.590421199798584,0.9460541727672035,0.9446435922924762,0.9806533658556924,0.9623117248433702,0.9839468445775669,0.9744528012094776,"(1.0, 0.07119477974440762, 0.13292592736756062)","(1.0, 0.14238955948881524, 0.24928371991167403)","(1.0, 0.2847791189776305, 0.4433121845944148)"
